Experiment,Average Time (s)
C++ Single-Threaded,0.03241300650000767
C++ Pthreads,21.08936720799997
C++ OpenMP,75.76815472649997
C Single-Threaded,46.08333465899997
C Pthreads,18.60953981399996
C OpenMP,16.734064603500087
Python Single-Threaded,0.04806479049995005
Python Multi-Threaded,0.05807838350000338
