Experiment,Average Time (s)
C++ Single-Threaded,0.01912132340003154
C++ Pthreads,0.019014874799904647
C++ OpenMP,0.025991100399915014
C Single-Threaded,0.01706174259979889
C Pthreads,0.016571924200070497
C OpenMP,0.022652610999830358
Python Single-Threaded,0.010532132999833266
Python Multi-Threaded,0.020618914599981508
