Threads,Average Time (s),Peak Memory (MB),Speedup
1,71.21679704300004,12.125,1.0
2,40.02252042500004,12.0625,1.7794180947813203
4,111.4521305305002,12.25,0.6389900013935644
8,72.35777777850035,12.3125,0.9842314016470621
12,41.37256448900007,12.125,1.721353218554649
16,41.18122471300012,12.5,1.7293511190918582
24,76.13283858249997,12.875,0.9354281065696408
32,20.97535945599975,13.4375,3.3952599092469584
